Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Class,"org.elasticsearch.gradle.plugin.PluginBuildPluginTests",1,1,1,1,10,1,9,0,1,2,2,0,,0,0,,,,3,1,,,,3,4,0,0,0,3,,41,,,,8,,,,32,,,8,21,2,,,,,,,16,20,6,,,14,,,,,,,,1,1,1,1,,4,0,,0,0,0.06,3,3,3,3
Public Method,"org.elasticsearch.gradle.plugin.PluginBuildPluginTests.setUp()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,0,,,,3,,,1,1,0,,,,6,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.elasticsearch.gradle.plugin.PluginBuildPluginTests.testApply()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,,2,,,,10,,,1,8,1,,,,11,1,0,5,6,1,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.10,1,1,1,1
Public Method,"org.elasticsearch.gradle.plugin.PluginBuildPluginTests.testApplyWithAfterEvaluate()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,2,,,,14,,,2,12,0,,,,22,1,0,9,10,2,,,8,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Class,"org.elasticsearch.gradle.plugin.PluginPropertiesExtension",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,26,13,,,,26,26,0,0,0,26,,145,,,,38,,,,95,,,40,32,12,,,,,,,41,68,40,,,28,,,,,,,,2,2,2,1,,1,0,,91,91,0.13,28,28,28,26
Public Constructor,"org.elasticsearch.gradle.plugin.PluginPropertiesExtension.PluginPropertiesExtension(Project)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.elasticsearch.gradle.plugin.PluginPropertiesExtension.getClassname()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.elasticsearch.gradle.plugin.PluginPropertiesExtension.getDescription()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.elasticsearch.gradle.plugin.PluginPropertiesExtension.getExtendedPlugins()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.elasticsearch.gradle.plugin.PluginPropertiesExtension.getJavaOpts()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
